1670681892: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670683693: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670685494: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670687295: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670689096: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670690897: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670692698: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670694499: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670696300: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670698101: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670699902: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670701703: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670703504: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670705305: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670707106: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670708907: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670710708: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670712509: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670714310: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670716111: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670717912: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670719713: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670721514: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670723315: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670725116: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670726917: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670728718: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670730519: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670732320: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670734121: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670735922: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670737723: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670739524: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670741325: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670743126: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670744927: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670746728: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670748529: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670750330: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670752131: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670753932: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670755733: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670757534: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670759335: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670761136: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670762937: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670764738: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670766539: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670768340: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670770141: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670771942: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670773743: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670775544: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670777345: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670779146: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670780947: Saving in-memory database to /mosquitto/data//mosquitto.db.
